iter	Passed	Remaining
812	9124	2098
813	9135	2087
814	9147	2076
815	9154	2064
816	9159	2051
817	9171	2040
818	9183	2029
819	9194	2018
820	9206	2007
821	9217	1996
822	9228	1984
823	9239	1973
824	9251	1962
825	9254	1949
826	9264	1938
827	9275	1926
828	9284	1915
829	9291	1903
830	9301	1891
831	9312	1880
832	9323	1869
833	9334	1858
834	9345	1846
835	9357	1835
836	9368	1824
837	9379	1813
838	9388	1801
839	9401	1790
840	9412	1779
841	9423	1768
842	9436	1757
843	9444	1745
844	9449	1733
845	9451	1720
846	9462	1709
847	9473	1698
848	9485	1686
849	9497	1675
850	9510	1665
851	9519	1653
852	9530	1642
853	9541	1631
854	9553	1620
855	9564	1608
856	9575	1597
857	9586	1586
858	9597	1575
859	9601	1563
860	9612	1551
861	9626	1541
862	9637	1529
863	9648	1518
864	9660	1507
865	9671	1496
866	9681	1485
867	9690	1473
868	9697	1461
869	9705	1450
870	9715	1438
871	9726	1427
872	9738	1416
873	9750	1405
874	9761	1394
875	9766	1382
876	9775	1371
877	9788	1360
878	9798	1348
879	9809	1337
880	9819	1326
881	9830	1315
882	9840	1303
883	9851	1292
884	9863	1281
885	9874	1270
886	9885	1259
887	9896	1248
888	9908	1237
889	9920	1226
890	9933	1215
891	9941	1203
892	9953	1192
893	9966	1181
894	9979	1170
895	9992	1159
896	10001	1148
897	10014	1137
898	10024	1126
899	10030	1114
900	10041	1103
901	10059	1092
902	10079	1082
903	10092	1071
904	10114	1061
905	10138	1051
906	10154	1041
907	10170	1030
908	10190	1020
909	10208	1009
910	10219	998
911	10230	987
912	10242	975
913	10253	964
914	10264	953
915	10275	942
916	10286	931
917	10291	919
918	10302	908
919	10313	896
920	10324	885
921	10333	874
922	10339	862
923	10350	851
924	10361	840
925	10369	828
926	10381	817
927	10391	806
928	10403	795
929	10416	784
930	10421	772
931	10431	761
932	10443	749
933	10455	738
934	10466	727
935	10477	716
936	10488	705
937	10499	693
938	10511	682
939	10523	671
940	10534	660
941	10548	649
942	10560	638
943	10572	627
944	10583	615
945	10596	604
946	10608	593
947	10612	582
948	10623	570
949	10634	559
950	10646	548
951	10658	537
952	10670	526
953	10680	514
954	10687	503
955	10698	492
956	10710	481
957	10721	470
958	10725	458
959	10734	447
960	10744	436
961	10754	424
962	10766	413
963	10778	402
964	10791	391
965	10802	380
966	10813	369
967	10827	357
968	10838	346
969	10850	335
970	10860	324
971	10871	313
972	10884	302
973	10891	290
974	10902	279
975	10915	268
976	10928	257
977	10940	246
978	10952	234
979	10965	223
980	10977	212
981	10988	201
982	11000	190
983	11011	179
984	11023	167
985	11030	156
986	11040	145
987	11051	134
988	11057	122
989	11067	111
990	11078	100
991	11085	89
992	11096	78
993	11107	67
994	11112	55
995	11122	44
996	11134	33
997	11146	22
998	11158	11
999	11169	0
